[Rx]1,  0,HV   , 1,2008      ,OTHER      , 5365,30-08-09,21:58:58,B
WBC   ,  0.02,L  ,K/uL  ,1,  0
MCV   ,------,H  ,fL    ,1,100
MCH   ,   0.0,L  ,Pg    ,1,  0
MCHC  ,------,H  ,g/dL  ,1,100
RDW   ,  45.9,H  ,%     ,1,  0
RETIC#,      ,   ,M/uL  ,0,  0
RETIC%,      ,   ,%     ,1,  0

PLT   ,    5.,L  ,K/uL  ,1,  0
MPV   ,   8.3,   ,fL    ,1,  0
PDW   ,   0.0,   ,%     ,1,  0
PCT   ,      ,   ,%     ,0,  0
F3

[Rx]1,  0,HV   , 1,2008      ,OTHER      , 5365,30-08-09,21:58:58,B
WBC   ,  0.02,L  ,K/uL  ,1,  0
NE#   ,  0.00,   ,K/uL  ,1,  0
LY#   ,  0.00,   ,K/uL  ,1,  0
MO#   ,  0.00,   ,K/uL  ,1,  0
EO#   ,  0.00,   ,K/uL  ,1,  0

BA#   ,  0.00,   ,K/uL  ,1,  0
NRBC# ,      ,   ,K/uL  ,1,  0
NE%   ,  0.00,   ,%     ,1,  0
LY%   ,  0.00,   ,%     ,1,  0
MO%   ,  0.00,   ,%     ,1,  0
EO%   ,  0.00,   ,%     ,1,  0
BA%   ,  0.00,   ,%     ,1,  0
NRBC% ,      ,   ,%     ,1,  0
RBC   ,  0.00,L  ,M/uL  ,1,  0
HB    ,   0.0,*  ,g/dL  ,1,  0
HCT   ,------,H  ,%     ,1,100
MCV   ,------,H  ,fL    ,1,100
MCH   ,   0.0,L  ,Pg    ,1,  0
MCHC  ,------,H  ,g/dL  ,1,100
RDW   ,  45.9,H  ,%     ,1,  0
RETIC#,      ,   ,M/uL  ,0,  0
RETIC%,      ,   ,%     ,1,  0

PLT   ,    5.,L  ,K/uL  ,1,  0
MPV   ,   8.3,   ,fL    ,1,  0
PDW   ,   0.0,   ,%     ,1,  0
PCT   ,      ,   ,%     ,0,  0
F3

[Rx]1,  0,HV   , 1,2008      ,OTHER      , 5365,30-08-09,21:58:58,B
WBC   ,  0.02,L  ,K/uL  ,1,  0
NE#   ,  0.00,   ,K/uL  ,1,  0
LY#   ,  0.00,   ,K/uL  ,1,  0
MO#   ,  0.00,   ,K/uL  ,1,  0
EO#   ,  0.00,   ,K/uL  ,1,  0

BA#   ,  0.00,   ,K/uL  ,1,  0
NRBC# ,      ,   ,K/uL  ,1,  0
NE%   ,  0.00,   ,%     ,1,  0
LY%   ,  0.00,   ,%     ,1,  0
MO%   ,  0.00,   ,%     ,1,  0
EO%   ,  0.00,   ,%     ,1,  0
BA%   ,  0.00,   ,%     ,1,  0
NRBC% ,      ,   ,%     ,1,  0
RBC   ,  0.00,L  ,M/uL  ,1,  0
HB    ,   0.0,*  ,g/dL  ,1,  0
HCT   ,------,H  ,%     ,1,100
MCV   ,------,H  ,fL    ,1,100
MCH   ,   0.0,L  ,Pg    ,1,  0
MCHC  ,------,H  ,g/dL  ,1,100
RDW   ,  45.9,H  ,%     ,1,  0
RETIC#,      ,   ,M/uL  ,0,  0
RETIC%,      ,   ,%     ,1,  0

PLT   ,    5.,L  ,K/uL  ,1,  0
MPV   ,   8.3,   ,fL    ,1,  0
PDW   ,   0.0,   ,%     ,1,  0
PCT   ,      ,   ,%     ,0,  0
F3

[Rx]1,  0,HV   , 1,2008      ,OTHER      , 5365,30-08-09,21:58:58,B
WBC   ,  0.02,L  ,K/uL  ,1,  0
NE#   ,  0.00,   ,K/uL  ,1,  0
LY#   ,  0.00,   ,K/uL  ,1,  0
MO#   ,  0.00,   ,K/uL  ,1,  0
EO#   ,  0.00,   ,K/uL  ,1,  0

BA#   ,  0.00,   ,K/uL  ,1,  0
NRBC# ,      ,   ,K/uL  ,1,  0
NE%   ,  0.00,   ,%     ,1,  0
LY%   ,  0.00,   ,%     ,1,  0
MO%   ,  0.00,   ,%     ,1,  0
EO%   ,  0.00,   ,%     ,1,  0
BA%   ,  0.00,   ,%     ,1,  0
NRBC% ,      ,   ,%     ,1,  0
RBC   ,  0.00,L  ,M/uL  ,1,  0
HB    ,   0.0,*  ,g/dL  ,1,  0
HCT   ,------,H  ,%     ,1,100
MCV   ,------,H  ,fL    ,1,100
MCH   ,   0.0,L  ,Pg    ,1,  0
MCHC  ,------,H  ,g/dL  ,1,100
RDW   ,  45.9,H  ,%     ,1,  0
RETIC#,      ,   ,M/uL  ,0,  0
RETIC%,      ,   ,%     ,1,  0

PLT   ,    5.,L  ,K/uL  ,1,  0
MPV   ,   8.3,   ,fL    ,1,  0
PDW   ,   0.0,   ,%     ,1,  0
PCT   ,      ,   ,%     ,0,  0
F3

[Rx]1,  0,HV   , 1,2008      ,OTHER      , 5365,30-08-09,21:58:58,B
WBC   ,  0.02,L  ,K/uL  ,1,  0
NE#   ,  0.00,   ,K/uL  ,1,  0
LY#   ,  0.00,   ,K/uL  ,1,  0
MO#   ,  0.00,   ,K/uL  ,1,  0
EO#   ,  0.00,   ,K/uL  ,1,  0

BA#   ,  0.00,   ,K/uL  ,1,  0
NRBC# ,      ,   ,K/uL  ,1,  0
NE%   ,  0.00,   ,%     ,1,  0
LY%   ,  0.00,   ,%     ,1,  0
MO%   ,  0.00,   ,%     ,1,  0
EO%   ,  0.00,   ,%     ,1,  0
BA%   ,  0.00,   ,%     ,1,  0
NRBC% ,      ,   ,%     ,1,  0
RBC   ,  0.00,L  ,M/uL  ,1,  0
HB    ,   0.0,*  ,g/dL  ,1,  0
HCT   ,------,H  ,%     ,1,100
MCV   ,------,H  ,fL    ,1,100
MCH   ,   0.0,L  ,Pg    ,1,  0
MCHC  ,------,H  ,g/dL  ,1,100
RDW   ,  45.9,H  ,%     ,1,  0
RETIC#,      ,   ,M/uL  ,0,  0
RETIC%,      ,   ,%     ,1,  0

PLT   ,    5.,L  ,K/uL  ,1,  0
MPV   ,   8.3,   ,fL    ,1,  0
PDW   ,   0.0,   ,%     ,1,  0
PCT   ,      ,   ,%     ,0,  0
F3

[Rx]1,  0,HV   , 1,2008      ,OTHER      , 5365,30-08-09,21:58:58,B
WBC   ,  0.02,L  ,K/uL  ,1,  0
NE#   ,  0.00,   ,K/uL  ,1,  0
LY#   ,  0.00,   ,K/uL  ,1,  0
MO#   ,  0.00,   ,K/uL  ,1,  0
EO#   ,  0.00,   ,K/uL  ,1,  0

BA#   ,  0.00,   ,K/uL  ,1,  0
NRBC# ,      ,   ,K/uL  ,1,  0
NE%   ,  0.00,   ,%     ,1,  0
LY%   ,  0.00,   ,%     ,1,  0
MO%   ,  0.00,   ,%     ,1,  0
EO%   ,  0.00,   ,%     ,1,  0
BA%   ,  0.00,   ,%     ,1,  0
NRBC% ,      ,   ,%     ,1,  0
RBC   ,  0.00,L  ,M/uL  ,1,  0
HB    ,   0.0,*  ,g/dL  ,1,  0
HCT   ,------,H  ,%     ,1,100
MCV   ,------,H  ,fL    ,1,100
MCH   ,   0.0,L  ,Pg    ,1,  0
MCHC  ,------,H  ,g/dL  ,1,100
RDW   ,  45.9,H  ,%     ,1,  0
RETIC#,      ,   ,M/uL  ,0,  0
RETIC%,      ,   ,%     ,1,  0

PLT   ,    5.,L  ,K/uL  ,1,  0
MPV   ,   8.3,   ,fL    ,1,  0
PDW   ,   0.0,   ,%     ,1,  0
PCT   ,      ,   ,%     ,0,  0
F3

[Rx]1,  0,HV   , 1,2008      ,OTHER      , 5365,30-08-09,21:58:58,B
WBC   ,  0.02,L  ,K/uL  ,1,  0
NE#   ,  0.00,   ,K/uL  ,1,  0
LY#   ,  0.00,   ,K/uL  ,1,  0
MO#   ,  0.00,   ,K/uL  ,1,  0
EO#   ,  0.00,   ,K/uL  ,1,  0

BA#   ,  0.00,   ,K/uL  ,1,  0
NRBC# ,      ,   ,K/uL  ,1,  0
NE%   ,  0.00,   ,%     ,1,  0
LY%   ,  0.00,   ,%     ,1,  0
MO%   ,  0.00,   ,%     ,1,  0
EO%   ,  0.00,   ,%     ,1,  0
BA%   ,  0.00,   ,%     ,1,  0
NRBC% ,      ,   ,%     ,1,  0
RBC   ,  0.00,L  ,M/uL  ,1,  0
HB    ,   0.0,*  ,g/dL  ,1,  0
HCT   ,------,H  ,%     ,1,100
MCV   ,------,H  ,fL    ,1,100
MCH   ,   0.0,L  ,Pg    ,1,  0
MCHC  ,------,H  ,g/dL  ,1,100
RDW   ,  45.9,H  ,%     ,1,  0
RETIC#,      ,   ,M/uL  ,0,  0
RETIC%,      ,   ,%     ,1,  0

PLT   ,    5.,L  ,K/uL  ,1,  0
MPV   ,   8.3,   ,fL    ,1,  0
PDW   ,   0.0,   ,%     ,1,  0
PCT   ,      ,   ,%     ,0,  0
F3

